original_sentence,truncated_sentence
"Interest in the anarchist movement developed alongside momentum in the anti-globalisation movement, whose leading activist networks were anarchist in orientation.",Interest in the anarchist movement
"International, and Toyota Motor Manufacturing Alabama, as well as their various suppliers.","International, and Toyota Motor Manufacturing"
"Internationally, Lincoln wanted to forestall foreign military aid to the Confederacy.","Internationally, Lincoln wanted to forestall"
"It begins with Achilles' withdrawal from battle after being dishonoured by Agamemnon, the commander of the Achaean forces.",It begins with Achilles' withdrawal
It cannot come from abroad.,It cannot come from abroad.
"It could depict a critique of existing society and hierarchies, serve as a prefigurative tool to reflect the anarchist ideal society and even turn into a means of direct action such as in protests.",It could depict a critique
It currently ranks fifth in the nation for the diversity of its flora.,It currently ranks fifth in
"It goes from the basics, the analysis of simple terms in the Categories, the analysis of propositions and their elementary relations in On Interpretation, to the study of more complex forms, namely, syllogisms (in the Analytics) and dialectics (in the Topics and Sophistical Refutations).","It goes from the basics,"
"It had not redistricted congressional districts since passage of its constitution in 1901; as a result, urbanized areas were grossly underrepresented.",It had not redistricted congressional
"It has a seating capacity of 143,000 and is the thirteenth largest stadium in the world and sixth largest stadium in America.",It has a seating capacity
It is headed by the governor of Alabama.,It is headed by the
It is not clear if this version of events was known earlier.,It is not clear if
"It is said that there, in Leuce island, reside the souls of Achilles and other heroes, and that they wander through the uninhabited valleys of this island; this is how Jove rewarded the men who had distinguished themselves through their virtues, because through virtue they had acquired everlasting honour"".","It is said that there,"
"It is the culmination of the film awards season, which usually begins during November or December of the previous year.",It is the culmination of
It is the oldest worldwide entertainment awards ceremony.,It is the oldest worldwide
"It seats 45,000.","It seats 45,000."
It was a notable feature of the international syndicalist movement.,It was a notable feature
It was after the institution of authority that anarchistic ideas were espoused as a reaction.,It was after the institution
"It was also host to the first formally organized Mardi Gras parade in the United States in 1830, a tradition that continues to this day.",It was also host to
"It was clear from the outset that bipartisan support was essential to success, and that any compromise alienated factions on both sides of the aisle, such as the appointment of Republicans and Democrats to command positions.",It was clear from the
"It was introduced in 2019, for the 2020 Oscars, though DVD screeners and Academy in-person screenings were still provided.","It was introduced in 2019,"
"It was later expanded upon in the theoretical work of Peter Kropotkin, whose specific style would go onto become the dominating view of anarchists by the late 19th century.",It was later expanded upon
Italic type is commonly used to mark emphasis or more generally to distinguish one part of a text from the rest (set in Roman type).,Italic type is commonly used
Italy saw the formation of the two main variants that are known today.,Italy saw the formation of
"Its aims include ""abolishing the state"", reciprocity, free association, voluntary contract, federation and monetary reform of both credit and currency that would be regulated by a bank of the people.","Its aims include ""abolishing the"
Its diversity has led to widely different uses of identical terms among different anarchist traditions which has created a number of definitional concerns in anarchist theory.,Its diversity has led to
"Its name in English is a (pronounced ), plural aes.",Its name in English is
"Its publicity has also led more scholars in fields such as anthropology and history to engage with the anarchist movement, although contemporary anarchism favours actions over academic theory.",Its publicity has also led
"Jaffa, Vernon Burton, Eric Foner, and Herman J.","Jaffa, Vernon Burton, Eric Foner,"
"Jews have been present in what is now Alabama since 1763, during the colonial era of Mobile, when Sephardic Jews immigrated from London.",Jews have been present in
"John Box
 Samuel M.",John Box Samuel M.
John Philoponus (in Late antiquity) and Galileo (in Early modern period) are said to have shown by experiment that Aristotle's claim that a heavier object falls faster than a lighter object is incorrect.,John Philoponus (in Late antiquity)
John Simmons' Moral Principles and Political Obligations.,John Simmons' Moral Principles and
"John Wilkes Booth was a well-known actor and a Confederate spy from Maryland; though he never joined the Confederate army, he had contacts with the Confederate secret service.",John Wilkes Booth was a
Joseph Raz states that the acceptance of authority implies the belief that following their instructions will afford more success.,Joseph Raz states that the
"Just as fresh snow has a higher albedo than does dirty snow, the albedo of snow-covered sea ice is far higher than that of sea water.",Just as fresh snow has
"Katie Britt and Tommy Tuberville, both of whom are Republican.","Katie Britt and Tommy Tuberville,"
"Ken Adam
 E.",Ken Adam E.
"Kentucky, Louisiana and Mississippi).","Kentucky, Louisiana and Mississippi)."
"Lambertian, displaying also a strong opposition effect.","Lambertian, displaying also a strong"
"Late 20th century and contemporary anarchist writers (Paul Goodman, Herbert Read, and Colin Ward) intensified and expanded the anarchist critique of state education, largely focusing on the need for a system that focuses on children's creativity rather than on their ability to attain a career or participate in consumerism as part of a consumer society.",Late 20th century and contemporary
"Late in 1836, Lincoln agreed to a match with Owens if she returned to New Salem.","Late in 1836, Lincoln agreed"
Later he served as a captain in the state militia during the Black Hawk War but saw no combat.,Later he served as a
"Le héros, la femme et la souffrance dans la poésie d'Homère, Paris: Albin Michel.","Le héros, la femme et"
"Leading up to his presidential campaign, Lincoln elevated his profile in an 1859 murder case, with his defense of Simeon Quinn ""Peachy"" Harrison who was a third cousin; Harrison was also the grandson of Lincoln's political opponent, Rev.",Leading up to his presidential
"Legal segregation ended in the states in 1964, but Jim Crow customs often continued until specifically challenged in court.",Legal segregation ended in the
Legislative delegations retain certain powers over each county.,Legislative delegations retain certain powers
"Life 
In general, the details of Aristotle's life are not well-established.","Life In general, the details"
"Like his teacher Plato, Aristotle's philosophy aims at the universal.","Like his teacher Plato, Aristotle's"
Lincoln accepted the nomination with great enthusiasm and zeal.,Lincoln accepted the nomination with
"Lincoln appeared before the Illinois Supreme Court in 175 cases; he was sole counsel in 51 cases, of which 31 were decided in his favor.",Lincoln appeared before the Illinois
"Lincoln argued in an 1858 criminal trial, defending William ""Duff"" Armstrong, who was on trial for the murder of James Preston Metzker.",Lincoln argued in an 1858
"Lincoln believed that slavery would be rendered obsolete if its expansion into new territories were prevented, because these territories would be admitted to the Union as free states, and free states would come to outnumber slave states.",Lincoln believed that slavery would
Lincoln believed the federal government had limited responsibility to the millions of freedmen.,Lincoln believed the federal government
"Lincoln commented on his thought process, ""We need the strongest men of the party in the Cabinet.",Lincoln commented on his thought
"Lincoln confidentially pledged in writing that if he should lose the election, he would still defeat the Confederacy before turning over the White House; Lincoln did not show the pledge to his cabinet, but asked them to sign the sealed envelope.",Lincoln confidentially pledged in writing
Lincoln demanded that Polk show Congress the exact spot on which blood had been shed and prove that the spot was on American soil.,Lincoln demanded that Polk show
Lincoln deserved that title.,Lincoln deserved that title.
Lincoln did believe in an all-powerful God that shaped events and by 1865 was expressing that belief in major speeches.,Lincoln did believe in an
"Lincoln did not comment on the act until months later in his ""Peoria Speech"" of October 1854.",Lincoln did not comment on
Lincoln emphasized his opposition to Polk by drafting and introducing his Spot Resolutions.,Lincoln emphasized his opposition to
Lincoln had pledged in 1846 to serve only one term in the House.,Lincoln had pledged in 1846
"Lincoln is believed to have had depression, smallpox, and malaria.",Lincoln is believed to have
Lincoln is largely responsible for the Thanksgiving holiday.,Lincoln is largely responsible for
Lincoln made five appointments to the Supreme Court.,Lincoln made five appointments to
Lincoln managed his own successful re-election campaign.,Lincoln managed his own successful
"Lincoln named his main political rival, William H.",Lincoln named his main political
Lincoln painstakingly monitored the telegraph reports coming into the War Department.,Lincoln painstakingly monitored the telegraph
"Lincoln ran for reelection in 1864, while uniting the main Republican factions, along with War Democrats Edwin M.",Lincoln ran for reelection in
Lincoln replaced Buell with William Rosecrans; and after the 1862 midterm elections he replaced McClellan with Ambrose Burnside.,Lincoln replaced Buell with William
"Lincoln served as New Salem's postmaster and later as county surveyor, but continued his voracious reading and decided to become a lawyer.",Lincoln served as New Salem's
"Lincoln shared the sympathies that the Jacksonians professed for the common man, but he disagreed with the Jacksonian view that the government should be divorced from economic enterprise.",Lincoln shared the sympathies that
"Lincoln spoke at the dedication of the Gettysburg battlefield cemetery on November 19, 1863.",Lincoln spoke at the dedication
"Lincoln suffered from ""melancholy"", a condition now thought to be clinical depression.","Lincoln suffered from ""melancholy"", a"
"Lincoln supported the Corwin Amendment to the Constitution, which passed Congress and was awaiting ratification by the states when Lincoln took office.",Lincoln supported the Corwin Amendment
"Lincoln then declared his opposition to slavery, which he repeated en route to the presidency.",Lincoln then declared his opposition
Lincoln traveled east in a special train.,Lincoln traveled east in a
"Lincoln vetoed only four bills, including the Wade-Davis Bill with its harsh Reconstruction program.","Lincoln vetoed only four bills,"
"Lincoln was an affectionate husband and father of four sons, though his work regularly kept him away from home.",Lincoln was an affectionate husband
"Lincoln was born into poverty in a log cabin in Kentucky and was raised on the frontier, primarily in Indiana.",Lincoln was born into poverty
Lincoln was concerned that Grant might be considering a presidential candidacy in 1864.,Lincoln was concerned that Grant
"Lincoln was determined to find meaning in the war in its aftermath, and did not want to continue to outcast the southern states.",Lincoln was determined to find
"Lincoln was tall, strong, and athletic, and became adept at using an ax.","Lincoln was tall, strong, and"
Lincoln's appointments were designed to harness both moderates and Radicals.,Lincoln's appointments were designed to
Lincoln's assassination left him a national martyr.,Lincoln's assassination left him a
Lincoln's experience with Native Americans started early with their killing of his grandfather in front of the family.,Lincoln's experience with Native Americans
"Lincoln's followers organized a campaign team led by David Davis, Norman Judd, Leonard Swett, and Jesse DuBois, and Lincoln received his first endorsement.",Lincoln's followers organized a campaign
"Lincoln's guest, Major Henry Rathbone, momentarily grappled with Booth, but Booth stabbed him and escaped.","Lincoln's guest, Major Henry Rathbone,"
Lincoln's mother Nancy Lincoln is widely assumed to be the daughter of Lucy Hanks.,Lincoln's mother Nancy Lincoln is
"Lincoln's philosophy on court nominations was that ""we cannot ask a man what he will do, and if we should, and he should answer us, we should despise him for it.",Lincoln's philosophy on court nominations
"Lincoln's portrait appears on two denominations of United States currency, the penny and the $5 bill.",Lincoln's portrait appears on two
"Lincoln's second state house campaign in 1834, this time as a Whig, was a success over a powerful Whig opponent.",Lincoln's second state house campaign
"Lincoln's war strategy embraced two priorities: ensuring that Washington was well-defended and conducting an aggressive war effort for a prompt, decisive victory.",Lincoln's war strategy embraced two
"Lincoln, Washington, and Franklin Delano Roosevelt, although the order varies.","Lincoln, Washington, and Franklin Delano"
"Lincoln, a moderate Republican, had to navigate a contentious array of factions with friends and opponents from both the Democratic and Republican parties.","Lincoln, a moderate Republican, had"
"Linear B tablets attest to the personal name Achilleus in the forms a-ki-re-u and a-ki-re-we, the latter being the dative of the former.",Linear B tablets attest to
"Literature
 Achilles appears in Dante's Inferno (composed 1308–1320).",Literature Achilles appears in Dante's
Little is known about Aristotle's life.,Little is known about Aristotle's
Local leaders' groups later burned critical rail bridges to the capital and the Army responded by arresting local Maryland officials.,Local leaders' groups later burned
"Maimonides also considered Aristotle to be the greatest philosopher that ever lived, and styled him as the ""chief of the philosophers"".",Maimonides also considered Aristotle to
"Major Robert Anderson, commander of the Union's Fort Sumter in Charleston, South Carolina, sent a request for provisions to Washington, and Lincoln's order to meet that request was seen by the secessionists as an act of war.","Major Robert Anderson, commander of"
"Many Baptist and Methodist congregations became established in the Great Awakening of the early 19th century, when preachers proselytized across the South.",Many Baptist and Methodist congregations
Many Homeric scholars argued that episode inspired many details in the Iliads description of the death of Patroclus and Achilles' reaction to it.,Many Homeric scholars argued that
"Many in the party felt that a former Whig should be nominated in 1858, and Lincoln's 1856 campaigning and support of Trumbull had earned him a favor.",Many in the party felt
"Many metropolitan and suburban counties have voters who are majority Democrats, resulting in local elections being decided in the Democratic primary.",Many metropolitan and suburban counties
"Many smaller banks are also headquartered in the Birmingham area, including ServisFirst and New South Federal Savings Bank.",Many smaller banks are also
"Margaret Herrick, librarian and president of the Academy, may have said she named it after her supposed uncle Oscar in 1921.","Margaret Herrick, librarian and president"
"Martin Luther King, Jr.","Martin Luther King, Jr."
"McClellan then resisted the president's demand that he pursue Lee's withdrawing army, while General Don Carlos Buell likewise refused orders to move the Army of the Ohio against rebel forces in eastern Tennessee.",McClellan then resisted the president's
McClellan then took months to plan his Virginia Peninsula Campaign.,McClellan then took months to
"Meade followed Lee north into Pennsylvania and beat him in the Gettysburg Campaign, but then failed to follow up despite Lincoln's demands.",Meade followed Lee north into
"Meanwhile, Lincoln emboldened Grant with more troops and Republican party support.","Meanwhile, Lincoln emboldened Grant with"
"Medieval Judaism 
Moses Maimonides (considered to be the foremost intellectual figure of medieval Judaism) adopted Aristotelianism from the Islamic scholars and based his Guide for the Perplexed on it and that became the basis of Jewish scholastic philosophy.",Medieval Judaism Moses Maimonides (considered
Members of the nine seats on the Supreme Court of Alabama and all ten seats on the state appellate courts are elected to office.,Members of the nine seats
"Memory 
According to Aristotle in On the Soul, memory is the ability to hold a perceived experience in the mind and to distinguish between the internal ""appearance"" and an occurrence in the past.",Memory According to Aristotle in
"Memory is of the past, prediction is of the future, and sensation is of the present.","Memory is of the past,"
"Mid-to-high-latitude forests have a much lower albedo during snow seasons than flat ground, thus contributing to warming.",Mid-to-high-latitude forests have a much
"Milestones 
The first Best Actor awarded was Emil Jannings, for his performances in The Last Command and The Way of All Flesh.",Milestones The first Best Actor
"Mobile is known for having the oldest organized Mardi Gras celebration in the United States, beginning in 1703.",Mobile is known for having
"Modern era 
During the French Revolution, partisan groups such as the Enragés and the  saw a turning point in the fermentation of anti-state and federalist sentiments.",Modern era During the French
"More than 2300 years after his death, Aristotle remains one of the most influential people who ever lived.",More than 2300 years after
"Most monastic Buddhist temples are concentrated in southern Mobile County, near Bayou La Batre.",Most monastic Buddhist temples are
"Most of the still extant works of Aristotle, as well as a number of the original Greek commentaries, were translated into Arabic and studied by Muslim philosophers, scientists and scholars.",Most of the still extant
Most of what is now the northern two-thirds of Alabama was known as the Yazoo lands beginning during the British colonial period.,Most of what is now
"Mother's death
On October 5, 1818, Nancy Lincoln died from milk sickness, leaving 11-year-old Sarah in charge of a household including her father, 9-year-old Abraham, and Nancy's 19-year-old orphan cousin, Dennis Hanks.","Mother's death On October 5,"
"Much of its economics and legal philosophy reflect anti-authoritarian, anti-statist, libertarian, and radical interpretations of left-wing and socialist politics such as collectivism, communism, individualism, mutualism, and syndicalism, among other libertarian socialist economic theories.",Much of its economics and
"Music 
Achilles has been frequently the subject of operas, ballets and related genres.",Music Achilles has been frequently
Mutualism is an 18th-century economic theory that was developed into anarchist theory by Pierre-Joseph Proudhon.,Mutualism is an 18th-century economic
"NASA's Marshall Space Flight Center in Huntsville would help Alabama's economic growth in the mid-to-late 20th century, by developing an aerospace industry.",NASA's Marshall Space Flight Center
"Namesakes 
 The name of Achilles has been used for at least nine Royal Navy warships since 1744 – both as  and with the French spelling .",Namesakes The name of Achilles
"Nationally, the Whigs were irreparably split by the Kansas–Nebraska Act and other efforts to compromise on the slavery issue.","Nationally, the Whigs were irreparably"
Native American groups within the state had increasingly been demanding recognition as ethnic groups and seeking an end to discrimination.,Native American groups within the
"Natural philosophy 
Aristotle's ""natural philosophy"" spans a wide range of natural phenomena including those now covered by physics, biology and other natural sciences.","Natural philosophy Aristotle's ""natural philosophy"""
"Near the end of his life, Alexander and Aristotle became estranged over Alexander's relationship with Persia and Persians.",Near the end of his
Nearly all Blacks had lost the ability to vote.,Nearly all Blacks had lost
New membership proposals are considered annually.,New membership proposals are considered
Nielsen since it started recording audience totals in 1974.,Nielsen since it started recording
"Nomination 
From 2004 to 2020, the Academy Award nomination results were announced to the public in mid-January.","Nomination From 2004 to 2020,"
None of the sources before Statius make any reference to this general invulnerability.,None of the sources before
"North America and worldwide, and gathers billions of viewers elsewhere throughout the world.","North America and worldwide, and"
"Not only did they confront state armed forces, as in Spain and Ukraine, but some of them also employed terrorism as propaganda of the deed.",Not only did they confront
"Note that white caps on waves look white (and have high albedo) because the water is foamed up, so there are many superimposed bubble surfaces which reflect, adding up their reflectivities.",Note that white caps on
Numerous paintings on pottery have suggested a tale not mentioned in the literary traditions.,Numerous paintings on pottery have
Objection to the state and its institutions is a sine qua non of anarchism.,Objection to the state and
"Of those who indicated a religious preference, 59% said they possessed a ""full understanding"" of their faith and needed no further learning.",Of those who indicated a
"On April 12, 1861, Confederate forces fired on Union troops at Fort Sumter and began the fight.","On April 12, 1861, Confederate"
"On April 14, 1865, hours before he was assassinated, Lincoln signed legislation establishing the United States Secret Service, and, at 10:15 in the evening, Booth entered the back of Lincoln's theater box, crept up from behind, and fired at the back of Lincoln's head, mortally wounding him.","On April 14, 1865, hours"
"On April 15, Lincoln called on the states to send a total of 75,000 volunteer troops to recapture forts, protect Washington, and ""preserve the Union"", which, in his view, remained intact despite the seceding states.","On April 15, Lincoln called"
"On August 17, 1862, the Sioux or Dakota uprising broke out in Minnesota.","On August 17, 1862, the"
"On December 2, 1819, Thomas married Sarah Bush Johnston, a widow from Elizabethtown, Kentucky, with three children of her own.","On December 2, 1819, Thomas"
"On December 20, 1860, South Carolina took the lead by adopting an ordinance of secession; by February 1, 1861, Florida, Mississippi, Alabama, Georgia, Louisiana, and Texas followed.","On December 20, 1860, South"
"On February 11, 1861, Lincoln gave a particularly emotional farewell address upon leaving Springfield; he would never again return to Springfield alive.","On February 11, 1861, Lincoln"
"On February 27, 1860, powerful New York Republicans invited Lincoln to give a speech at Cooper Union, in which he argued that the Founding Fathers of the United States had little use for popular sovereignty and had repeatedly sought to restrict slavery.","On February 27, 1860, powerful"
"On January 11, 1861, Alabama declared its secession from the Union.","On January 11, 1861, Alabama"
"On January 27, 1838, Abraham Lincoln, then twenty-eight years old, delivered his first major speech at the Lyceum in Springfield, Illinois, after the murder of newspaper editor Elijah Parish Lovejoy in Alton.","On January 27, 1838, Abraham"
"On January 30, 1846, the Alabama legislature announced it had voted to move the capital city from Tuscaloosa to Montgomery.","On January 30, 1846, the"
"On March 4, 1865, Lincoln delivered his second inaugural address.","On March 4, 1865, Lincoln"
"On May 14, 2019, Alabama passed the Human Life Protection Act, banning abortion at any stage of pregnancy unless there is a ""serious health risk"", with no exceptions for rape and incest.","On May 14, 2019, Alabama"
"On May 18, at the Republican National Convention in Chicago, Lincoln won the nomination on the third ballot, beating candidates such as Seward and Chase.","On May 18, at the"
"On May 9–10, 1860, the Illinois Republican State Convention was held in Decatur.","On May 9–10, 1860, the"
"On November 6, 1860, Lincoln was elected the 16th president.","On November 6, 1860, Lincoln"
"On September 22, 1862, Lincoln issued the preliminary Emancipation Proclamation, which announced that, in states still in rebellion on January 1, 1863, the slaves would be freed.","On September 22, 1862, Lincoln"
"On September 9, 2017, The Cincinnati Symphony Orchestra gave the world premiere of the long-awaited critical edition of the piece prepared by Mark Clague, director of the Gershwin initiative at the University of Michigan.","On September 9, 2017, The"
"On any given day, about half of Earth is covered by clouds, which reflect more sunlight than land and water.","On any given day, about"
One component of Aristotle's theory of dreams disagrees with previously held beliefs.,One component of Aristotle's theory
One of the earliest criticisms is that anarchism defies and fails to understand the biological inclination to authority.,One of the earliest criticisms
One of these five parameters is yet another type of albedo called the single-scattering albedo.,One of these five parameters
"One of these is Achilles, who when greeted as ""blessed in life, blessed in death"", responds that he would rather be a slave to the worst of masters than be king of all the dead.","One of these is Achilles,"
"Only three Republican lieutenant governors have been elected since the end of Reconstruction, when Republicans generally represented Reconstruction government, including the newly emancipated freedmen who had gained the franchise.",Only three Republican lieutenant governors
Operas titled Deidamia were composed by Francesco Cavalli (1644) and George Frideric Handel (1739).,Operas titled Deidamia were composed
Opinions have varied on whether Aristotle intended to state quantitative laws.,Opinions have varied on whether
"Optical or visual albedo
The albedos of planets, satellites and minor planets such as asteroids can be used to infer much about their properties.",Optical or visual albedo The
"Originally home to many native tribes, present-day Alabama was a Spanish territory beginning in the sixteenth century until the French acquired it in the early eighteenth century.",Originally home to many native
"Originally scheduled for April 8, 1968, the 40th Academy Awards ceremony was postponed for two days, because of the assassination of Dr.","Originally scheduled for April 8,"
Other anarchists advocated for or used art as a means to achieve anarchist ends.,Other anarchists advocated for or
"Other languages 
In most languages that use the Latin alphabet,  denotes an open unrounded vowel, such as , , or .",Other languages In most languages
"Over the coming months, Lincoln was tireless, making nearly fifty speeches along the campaign trail.","Over the coming months, Lincoln"
"Overall, contemporary anarchists are much less violent and militant than their ideological ancestors.","Overall, contemporary anarchists are much"
"Ownership of Oscar statuettes 
Prior to 1950, Oscar statuettes were (and remain) the property of the recipient.",Ownership of Oscar statuettes Prior
"Pacific, since the 1999 ceremonies, it was moved to Sundays at 8:30 pm ET/5:30 pm PT.","Pacific, since the 1999 ceremonies,"
"Partially as a response to chronic underfunding of education for African Americans in the South, the Rosenwald Fund began funding the construction of what came to be known as Rosenwald Schools.",Partially as a response to
"Peace Democrats (Copperheads) argued that emancipation was a stumbling block to peace and reunification, but Republican editor Horace Greeley of the New-York Tribune, in his public letter, ""The Prayer of Twenty Millions"", implored Lincoln to embrace emancipation.",Peace Democrats (Copperheads) argued that
"Peleus entrusted Achilles to Chiron, who lived on Mount Pelion and was known as the most righteous of the Centaurs, to be reared.","Peleus entrusted Achilles to Chiron,"
"Perhaps the most widely seen streaker in history was 34-year-old Robert Opel, who streaked across the stage of The Dorothy Chandler Pavilion in Los Angeles flashing a peace sign on national US television at the 46th Academy Awards in 1974.",Perhaps the most widely seen
"Peter Paul Rubens has authored a series of works on the life of Achilles, comprising the titles: Thetis dipping the infant Achilles into the river Styx, Achilles educated by the centaur Chiron, Achilles recognized among the daughters of Lycomedes, The wrath of Achilles, The death of Hector, Thetis receiving the arms of Achilles from Vulcanus, The death of Achilles (Museum Boijmans Van Beuningen, Rotterdam), and Briseis restored to Achilles (Detroit Institute of Arts; all –1635)
 Pieter van Lint, ""Achilles Discovered among the Daughters of Lycomedes"", 1645, at the Israel Museum, Jerusalem
 Dying Achilles is a sculpture created by Christophe Veyrier (; Victoria and Albert Museum, London).",Peter Paul Rubens has authored
Philosophical anarchism has met the criticism of members of academia following the release of pro-anarchist books such as A.,Philosophical anarchism has met the
Philosophy lecturer Andrew G.,Philosophy lecturer Andrew G.
"Plato
In Hippias Minor, a Socratic dialogue attributed to Plato, an arrogant man named Hippias argues with Socrates.","Plato In Hippias Minor, a"
"Plato argued that all things have a universal form, which could be either a property or a relation to other things.",Plato argued that all things
"Pliny the Elder (23–79 AD) in his Natural History mentions a ""port of the Achæi"" and an ""island of Achilles"", famous for the tomb of that ""man"" (), situated somewhat nearby Olbia and the Dnieper-Bug Estuary; furthermore, at 125 Roman miles from this island, he places a peninsula ""which stretches forth in the shape of a sword"" obliquely, called Dromos Achilleos (Ἀχιλλέως δρόμος, Achilléōs drómos ""the Race-course of Achilles"") and considered the place of the hero's exercise or of games instituted by him.",Pliny the Elder (23–79 AD)
"Political views 
On foreign and military policy, Lincoln spoke against the Mexican–American War, which he imputed to President James K.",Political views On foreign and
"Politically, as part of the Deep South, Alabama is predominantly a conservative state, and is known for its Southern culture.","Politically, as part of the"
"Politics 
During Reconstruction following the American Civil War, Alabama was occupied by federal troops of the Third Military District under General John Pope.",Politics During Reconstruction following the
"Polk's desire for ""military glory—that attractive rainbow, that rises in showers of blood"".","Polk's desire for ""military glory—that"
Pope was Minnesota Congressman Henry H.,Pope was Minnesota Congressman Henry
"Ports 
The Port of Mobile, Alabama's only saltwater port, is a large seaport on the Gulf of Mexico with inland waterway access to the Midwest by way of the Tennessee–Tombigbee Waterway.","Ports The Port of Mobile,"
"Presenter and performer gifts 
It has become a tradition to give out gift bags to the presenters and performers at the Oscars.",Presenter and performer gifts It
"Preservation status
On September 22, 2013, it was announced that a musicological critical edition of the full orchestral score would be eventually released.","Preservation status On September 22,"
"Preston Ames
 Herman A.",Preston Ames Herman A.
"Prior to that, the results were announced in early February.","Prior to that, the results"
"Prior to the Republican convention, the Lincoln campaign began cultivating a nationwide youth organization, the Wide Awakes, which it used to generate popular support throughout the country to spearhead voter registration drives, thinking that new voters and young voters tended to embrace new parties.","Prior to the Republican convention,"
"Producers must submit an Official Screen Credits online form before the deadline; in case it is not submitted by the defined deadline, the film will be ineligible for Academy Awards in any year.",Producers must submit an Official
"Proposed categories 
The Board of Governors meets each year and considers new award categories.",Proposed categories The Board of
Protective Stadium is home of the UAB Blazers football program and the Birmingham Bowl.,Protective Stadium is home of
Public primary and secondary education in Alabama is under the purview of the Alabama State Board of Education as well as local oversight by 67 county school boards and 60 city boards of education.,Public primary and secondary education
Public school funding is appropriated through the Alabama Legislature through the Education Trust Fund.,Public school funding is appropriated
"Rather than studying in the office of an established attorney, as was the custom, Lincoln borrowed legal texts from attorneys John Todd Stuart and Thomas Drummond, purchased books including Blackstone's Commentaries and Chitty's Pleadings, and read law on his own.",Rather than studying in the
"Ravel's tour reignited Gershwin's desire to return to Paris, which he and his brother Ira did after meeting Ravel.",Ravel's tour reignited Gershwin's desire
"Realizing Clay was unlikely to win the presidency, he supported General Zachary Taylor for the Whig nomination in the 1848 presidential election.",Realizing Clay was unlikely to
"Recognition of streaming media film 
Following the 91st Academy Awards in February 2019 in which the Netflix-broadcast film Roma had been nominated for ten awards including the Best Picture category, Steven Spielberg and other members of the Academy discussed changing the requirements through the Board of Governors for films as to exclude those from Netflix and other media streaming services.",Recognition of streaming media film
"Reconstruction in Alabama ended in 1874, when the Democrats regained control of the legislature and governor's office through an election dominated by fraud and violence.",Reconstruction in Alabama ended in
"Reconstruction preceded the war's end, as Lincoln and his associates considered the reintegration of the nation, and the fates of Confederate leaders and freed slaves.","Reconstruction preceded the war's end,"
"Recordings
An American in Paris has been frequently recorded.",Recordings An American in Paris
"Refusals of the award 
Some winners critical of the Academy Awards have boycotted the ceremonies and refused to accept their Oscars.",Refusals of the award Some
Regions Financial Corporation is the largest bank headquartered in or operating in Alabama.,Regions Financial Corporation is the
"Republican values 
Lincoln's redefinition of republican values has been stressed by historians such as John Patrick Diggins, Harry V.",Republican values Lincoln's redefinition of
Republicans hold six of the eight elected seats on the Alabama State Board of Education.,Republicans hold six of the
"Residents of the state, along with those in five other states, were least likely in the nation to be physically active during leisure time.","Residents of the state, along"
"Responding to criticism of Grant after Shiloh, Lincoln had said, ""I can't spare this man.",Responding to criticism of Grant
"Roads 
Alabama has six major interstate routes: Interstate 65 (I-65) travels north–south roughly through the middle of the state; I-20/I-59 travel from the central west Mississippi state line to Birmingham, where I-59 continues to the north-east corner of the state and I-20 continues east towards Atlanta; I-85 originates in Montgomery and travels east-northeast to the Georgia state line, providing a main thoroughfare to Atlanta; and I-10 traverses the southernmost portion of the state, traveling from west to east through Mobile.",Roads Alabama has six major
Robert Paul Wolff believed that the tension between authority and autonomy would mean the state could never be legitimate.,Robert Paul Wolff believed that
"Roosevelt, preparing America for war, used the words of the Civil War president to clarify the threat posed by Germany and Japan.","Roosevelt, preparing America for war,"
"Rule 2 states that a film must be feature-length, defined as a minimum of 40 minutes, except for short-subject awards, and it must exist either on a 35 mm or 70 mm film print or in 24 frame/s or 48 frame/s progressive scan digital cinema format with a minimum projector resolution of 2048 by 1080 pixels.",Rule 2 states that a
"Rules 
According to Rules 2 and 3 of the official Academy Awards Rules, a film must open in the previous calendar year, from midnight at the start of January 1 to midnight at the end of December 31, in Los Angeles County, California, and play for seven consecutive days, to qualify (except for the Best International Feature Film, Best Documentary Feature, and awards in short film categories).",Rules According to Rules 2
Rural workers poured into the largest cities in the state for better jobs and a higher standard of living.,Rural workers poured into the
Sales tax rates for cities and counties are also added to purchases.,Sales tax rates for cities
"Sandford 
Dred Scott was a slave whose master took him from a slave state to a territory that was free as a result of the Missouri Compromise.",Sandford Dred Scott was a
"Sawyer Award: since 1981
 Jean Hersholt Humanitarian Award: since 1957 
 Irving G.",Sawyer Award: since 1981 Jean
Scott became the second person to refuse his award (Best Actor in 1970 for Patton) at the 43rd Academy Awards ceremony.,Scott became the second person
Sculptor George Stanley (who also did the Muse Fountain at the Hollywood Bowl) sculpted Cedric Gibbons' design.,Sculptor George Stanley (who also
Sea water absorbs more solar radiation than would the same surface covered with reflective snow.,Sea water absorbs more solar
"Secretary of War Stanton had issued orders that Booth be taken alive, so Corbett was initially arrested to be court martialed.",Secretary of War Stanton had
"Senate, and Lincoln hoped to defeat him.","Senate, and Lincoln hoped to"
Serving under Gen.,Serving under Gen.
"Several anarchists from Petrograd and Moscow fled to Ukraine, before the Bolsheviks crushed the anarchist movement there too.",Several anarchists from Petrograd and
Several claims have been made that Lincoln's health was declining before the assassination.,Several claims have been made
